codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
83097;PRHDB;***;HELICÓPTERO;ROBINSON HELICOPTER;R44;R44;PISTÃO;MONOMOTOR;1088;1088;4;2001;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;CAMPO DE MARTE - SP;MAROUM;CRUZEIRO;***;SUBSTANCIAL;4
83085;PTEEK;***;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;7;1976;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FAZENDA ÁGUA LIMPA;PLÁCIDO DE CASTRO;TÁXI;NÃO REGULAR;LEVE;0
83074;PSAEN;***;AVIÃO;EMBRAER;ERJ 190-400;E295;JATO;BIMOTOR;61200;61200;0;2022;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;TANCREDO NEVES;INDETERMINADA;REGULAR;NENHUM;0
83063;PRGZW;***;AVIÃO;BOEING COMPANY;737-86N;B738;;BIMOTOR;79015;79015;0;2006;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;REGULAR;NENHUM;0
83051;PRPDP;***;***;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-42-500;AT45;TURBOÉLICE;BIMOTOR;18600;18600;48;1999;BRASIL;BRASIL;***;REGULAR;PORTO URUCU;CARAUARI;TÁXI;REGULAR;NENHUM;0
83044;PRYSI;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;NULL;2022;BRASIL;BRASIL;AVIÃO;REGULAR;SALGADO FILHO;VIRACOPOS;POUSO;REGULAR;NENHUM;0
83036;PRYXT;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A 600;AT76;***;***;23000;23000;NULL;NULL;BRASIL;BRASIL;AVIÃO;REGULAR;TANCREDO NEVES;CABO FRIO;POUSO;REGULAR;NENHUM;0
83035;PRAQP;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;0;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ALUÍZIO ALVES;FERNANDO DE NORONHA;POUSO;REGULAR;NENHUM;0
83033;PRYRV;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;77000;77000;160;0;BRASIL;BRASIL;AVIÃO;REGULAR;PORTO SEGURO;PRESIDENTE PRUDENTE;POUSO;REGULAR;NENHUM;0
83032;PRYYA;***;AVIÃO;AIRBUS INDUSTRIE;A320-251N;A320;JATO;BIMOTOR;79000;79000;NULL;NULL;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;BRIGADEIRO LYSIAS RODRIGUES;POUSO;REGULAR;NENHUM;0
83031;PRYYJ;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;***;BIMOTOR;79000;79000;NULL;2017;BRASIL;BRASIL;AVIÃO;REGULAR;VAL DE CANS / JÚLIO CEZAR RIBEIRO;MARECHAL CUNHA MACHADO;POUSO;REGULAR;NENHUM;0
83030;PRYSF;***;AVIÃO;AIRBUS S.A.S.;A320-251N;A20N;***;***;77000;77000;NULL;2019;BRASIL;BRASIL;AVIÃO;REGULAR;ALTAMIRA;VAL DE CANS / JÚLIO CEZAR RIBEIRO;POUSO;REGULAR;NENHUM;0
