dia_semana;mes;temporada;cidade;UF;regiao;pais;motivo;outro_motivo;selazer_atrativo;selazer_outro;senegocios_motivo;senegocios_outro;secongresso_motivo;secongresso_outro;atividades;atividades_outro;compahia;companhia_outro;organizacao_viagem;organizacao_viagem_outro;fonte_info;fonte_info_outro;pernoite;hospedagem;hospedagem_outro;reserva_hospdagem;reserva_hospedagem_outro;qt_pernoite;visita_outra_cidade;Cidade1;Cidade2;Cidade3;Cidade4;Cidade5;senao_motivo;senao_motivo_outro;agencia_passeiolocal;reserva_agencia;reserva_agencia_outro;guia_turismo;reserva_guia;reserva_guia_outro;g_transporteinterno;g_hospedagem;g_alimentacao;g_atrativosepasseios;g_compras;g_outros;g_total;g_totaldiario;g_totaldiarioind;obs_gastos;pessoasnosgastos;meio_transp_chegada;meio_transp_chegada_outro;meio_transp_interno;meio_transp_interno_outro;excpectativas;motivo_expectativas_negativas;1vez_na_cidade;visitou_3_anos;pretensao_retorno;motivo_retorno;motivo_retorno_outro;n_seguranca;n_acesso;n_transppubico;n_limpezaatrativos;n_comercio;n_qualidadehospedagem;n_atrativos;n_informacaoturistica;n_silizacaoturistica;n_opcpesdelazer;n_qualidadeprofguias;n_hospitalidade;n_gastronomia;n_precos;n_telefonia_internet;1_imagem;padrao;proxima_viagem;proxima_viagem_outro;id_genero;id_genero_outro;estado_civil;idade;instrucao;instrucao_outro;merc_trabalho;renda;dependente;Local;GPS;GPS2
sabado;julho;baixa;Divinopolis;MG;Sudeste;Brasil;Outro;Acompanhamento de familiar hospitalizado;;;;;;;Nao respondeu;;Familiares com filhos;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Sim;Casa propria;;;;40;Sim;Betim;;;;;;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;0;0;49;0;49;3.27;3.27;;1;Aviao;;Transporte privado por aplicativos ;;Superou;;Sim;;Sim;Lazer;;10;8;;10;10;9;10;9;9;9;;10;10;10;10;Cidades tranquila. boa de se viver;Outra;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Masculino;;Solteiro;26;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 1 SM e 3 SM (R$ 954.01 a R$ 2.862.00);1;Aeroporto;-19.6292457;-43.9649835
sabado;setembro;alta;Sao Sebastiao do Paraiso;MG;Sudeste;Brasil;Outro;Audiencia;;;;;;;City tour;;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Sim;Hotel/ Pousada;;Sites de reserva (Booking/ Tripadvisor/ Trivago/ Hoteis.com);;7;Nao;;;;;;Condicao financeira;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;300;;0;0;700;0;1000;71.43;71.43;;1;Aviao;;Transporte privado por aplicativos ;;Atendeu plenamente;;Sim;;Sim;Lazer;;8;9;;9;9;8;;;;10;;9;8;8;9;Pao de Queijo;Pao de Queijo;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Solteiro;33;Ensino Superior incompleto;Superior cursando;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);2;Aeroporto;-19.6336761;-43.9620043
domingo;setembro;alta;Uba;MG;Sudeste;Brasil;Outro;Buscar um parente;;;;;;;"Visitar parques naturais;Compra de produtos artesanais locais";;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Amigos e parentes;;Nao;;;;;;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;300;1000;800;200;300;0;2600;260;260;;1;Aviao;;Transporte privado por aplicativos ;;Atendeu plenamente;;Nao;Sim;Sim;Lazer;;10;7;;9;9;9;10;9;5;10;;8;10;8;10;Queijo;Gastronomia;Sol e praia;;Masculino;;Solteiro;25;Ensino medio completo;;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);1;Aeroporto;-196326719;-439637352
quinta;julho;baixa;Sao Paulo ;SP;Sudeste;Brasil;Outro;Campeonato JiuJtsu ;;;;;;;Outro;Visita a parentes ;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Sim;Casa de amigos e parentes;;;;2;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;200;250;300;150;600;0;1500;750;750;;1;Aviao;;Transporte privado por aplicativos ;;Atendeu plenamente;;Sim;;Sim;Negocios;;9;5;;9;9;7;8;7;8;6;;8;9;8;9;Ladeira;Horizonte;Sol e praia;;Masculino;;Solteiro;26;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 7 SM e 10 SM (R$ 6.678.01 a R$ 9.540.00);2;Aeroporto;-19632679;-439636803
domingo;setembro;alta;Sao Paulo;SP;Sudeste;Brasil;Outro;Casamento;;;;;;;Nao respondeu;;Amigos;;Sem pacote_eu mesmo(a) organizei;;Amigos e parentes;;Sim;Hotel/ Pousada;;Diretamente com o estabelecimento (site do hotel/ e-mail /telefone/ pessoalmente);;3;Sim;Ouro Preto;;;;;;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;50;250;80;0;0;0;380;380;380;;1;Onibus rodoviario;; Taxi;;Superou;;Nao;Nao;Sim;Negocios;;10;8;;8;;10;;;;;;8;8;6;10;Nao sabe;Nao sabe;Contato com a natureza;;Masculino;;Casado;28;Ensino medio completo;;Assalariado(a) com carteira assinada;Nao respondeu;;Aeroporto;-196332016;-439626212
domingo;setembro;alta;Vila Velha;ES;Sudeste;Brasil;Outro;Casamento;;;;;;;Nao respondeu;;Familiares sem filhos;;Outra;Pai da noiva organizou;Amigos e parentes;;Sim;Hotel/ Pousada;;Outros;Pai da noiva;1;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;1000;500;550;250;0;0;2300;766.67;766.67;;1;Aviao;;Transporte privado por aplicativos ;;Atendeu plenamente;;Nao;Sim;Sim;Negocios;;5;8;;8;7;9;9;7;7;9;;9;9;8;8;Nao sabe;Nao sabe;Sol e praia;;Masculino;;Solteiro;33;Ensino Superior completo;;Assalariado(a) com carteira assinada;Nao respondeu;;Aeroporto;-196332376;-439627075
domingo;setembro;alta;Uberlandia;MG;Sudeste;Brasil;Outro;Casamento;;;;;;;Outro;Casamento;Casal;;Sem pacote_eu mesmo(a) organizei;;Amigos e parentes;;Sim;Hotel/ Pousada;;Sites de reserva (Booking/ Tripadvisor/ Trivago/ Hoteis.com);;1;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;300;0;200;0;500;166.67;166.67;;1;Aviao;;Veiculo Alugado;;Atendeu plenamente;;Nao;Sim;Sim;Negocios;;7;10;;5;9;10;10;10;10;10;;10;10;6;10;Mercado central;Mercado Central;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Feminino;;Casado;37;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 3 SM e 5 SM (R$ 2.862.01 a R$ 4.770.00);2;Aeroporto;-196323855;-439637602
domingo;setembro;alta;Santo Andre;SP;Sudeste;Brasil;Outro;Casamento;;;;;;;Outro;Visitar familia doente;Familiares com filhos;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Nao;;;;;;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;0;0;120;0;120;60;60;;1;Aviao;;Transporte privado por aplicativos ;;Atendeu plenamente;;Sim;;Nao sabe;;;5;10;;5;10;10;;;;;;10;10;9;10;Nao sabe;Nao sabe;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Masculino;;Solteiro;30;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 3 SM e 5 SM (R$ 2.862.01 a R$ 4.770.00);2;Aeroporto;-196322697;-439638901
domingo;setembro;alta;Maravilhas;MG;Sudeste;Brasil;Outro;Concurso;;;;;;;Nao respondeu;;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Ja conhecia a cidade;;Nao;;;;;;Nao;;;;;;Falta de tempo;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;200;0;0;0;200;100;100;;1;Aviao;;Transporte privado por aplicativos ;;Atendeu plenamente;;Nao;Sim;Sim;Negocios;;7;10;;7;10;10;;5;5;10;;10;10;8;10;Lagoa da Pampulha;Lagoa da Pampulha;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Masculino;;Casado;36;Ensino Superior completo;;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);3;Aeroporto;-196322255;-439641052
domingo;setembro;alta;Niteroi;RJ;Sudeste;Brasil;Outro;Concurso;;;;;;;Nao respondeu;;Viajou so;;Sem pacote_eu mesmo(a) organizei;;Internet;;Sim;Casa de amigos e parentes;;;;2;Nao;;;;;;Nao tenho interesse;;Nao_nao vou contratar;;;Nao_nao vou contratar;;;0;;70;100;0;0;170;85;85;;1;Aviao;;Transporte privado por aplicativos ;;Atendeu plenamente;;Nao;Sim;Sim;Negocios;;6;10;5;5;9;10;7;10;10;10;;10;10;8;10;Bares;Bares;Nao se aplica (caso a pessoa responder negocios ou visitar amigos e parentes);;Masculino;;Casado;52;Pos-graduacao/ Mestrado/ Doutorado completo;;Assalariado(a) com carteira assinada;Entre 5 SM e 7 SM (R$ 4.770.01 a R$ 6.678.00);3;Aeroporto;-196320723;-439640422
