Ano;Mes;UF;IMPOSTO SOBRE IMPORTACAO;IMPOSTO SOBRE EXPORTACAO;IPI - FUMO;IPI - BEBIDAS;IPI - AUTOMOVEIS;IPI - VINCULADO  IMPORTACAO;IPI - OUTROS
2000;Janeiro;AC;R$231; R$ -   ;R$292.096; R$ -   ; R$ -   ;R$167;R$1.558
2000;Janeiro;AL;R$475.088;R$33.873;R$1.329.338;R$812.470; R$ -   ;R$141.735;R$3.676.847
2000;Janeiro;AM;R$11.679.405; R$ -   ;R$1.507.146;R$1.791.471;R$27.796;R$4.414.483;R$1.800.346
2000;Janeiro;AP;R$24.267; R$ -   ;R$424.862;R$1.419;R$321;R$22.333;R$12.165
2000;Janeiro;BA;R$10.476.457;R$13;R$5.542.123;R$11.533.707; R$ -   ;R$7.496.476;R$23.743.858
2000;Janeiro;CE;R$5.576.921; R$ -   ;R$4.535.653;R$3.148.254; R$ -   ;R$1.734.529;R$3.716.458
2000;Janeiro;DF;R$2.254.341;R$43;R$3.197.500;R$2.777.942; R$ -   ;R$2.079.272;R$2.433.339
2000;Janeiro;ES;R$31.950.799; R$ -   ;R$3.598.736;R$20.408;R$1.503.039;R$26.840.430;R$4.036.463
2000;Janeiro;GO;R$3.747.911; R$ -   ;R$3.236.092;R$5.064.141;R$1.091.185;R$986.314;R$2.654.994
2000;Janeiro;MA;R$1.714.749;R$69;R$1.124.738;R$4.061.569; R$ -   ;R$206.691;R$484.436
2000;Janeiro;MG;R$35.549.181;R$57;R$15.511.142;R$12.111.623;R$29.305.691;R$15.049.305;R$38.667.924
2000;Janeiro;MS;R$437.668; R$ -   ;R$899.850;R$268.111; R$ -   ;R$365.983;R$626.188
2000;Janeiro;MT;R$302.002; R$ -   ;R$1.837.228;R$2.734.966; R$ -   ;R$98.807;R$322.126
2000;Janeiro;PA;R$1.321.715; R$ -   ;R$2.506.107;R$1.255.572; R$ -   ;R$771.308;R$842.141
2000;Janeiro;PB;R$1.351.422; R$ -   ;R$1.971.817;R$5.556.557; R$ -   ;R$763.383;R$1.729.472
